id,name,rating,address,city,lat,long
552,pho-1-vallejo,4,3885 Sonoma Blvd,Vallejo,381.266.670.227.051,-122256126403808
561,tacos-jalisco-vallejo,4,3420 Sonoma Blvd,Vallejo,381.211.891.174.316,-122254600524902
562,menchies-frozen-yogurt-belmont-2,4,1200 El Camino Real,Belmont,375.189.045,-1222744648
563,fashion-wok-foster-city,4,929 A Edgewater Blvd,Foster City,375.452.836.454.887,-12227046500734
579,cafe-sorriso-san-leandro,4,1501 Washington Ave,San Leandro,377.228,-122155194
582,sweet-dee-cupcakes-and-snow-ice-san-leandro,4,109 Pelton Ctr Way,San Leandro,377.229.449.751.301,-122153543170361
594,taqueria-los-pericos-san-leandro,4,1389 E 14th St,San Leandro,3.772.437,-122155085
597,r-and-d-cafe-san-lorenzo,4,15813 Channel St,San Lorenzo,376.770.314.768.334,-122142561774295
598,munch-hayward,4,27560 Tampa Ave,Hayward,37.631.869,-122075384
600,yo-bowl-hayward,4,8 Southland Mall,Hayward,37.651.128,-122101295999999
601,yogurt-hill-hayward-4,4,1081 B St,Hayward,3.767.355,-122081139999999
8,factory-tea-bar-fremont-2,"3,5",46461 Mission Blvd,Fremont,374.922.976.027.806,-121927918713539
9,super-cue-cafe-fremont,"3,5",43743 Boscell Rd,Fremont,375.007.782.876.492,-121973167955875
10,milk-and-honey-cafe-fremont,"3,5",34265 Fremont Blvd,Fremont,37.575.448.103.287,-122042586920966
12,taro-taro-dessert-and-tea-house-fremont,"3,5",6018 Stevenson Blvd,Fremont,375.195.973.820.395,-121989493228847
13,i-tea-fremont-2,"3,5",43421 Christy St,Fremont,37.504.992.442.164,-121971231736243
16,urbain-tea-fremont,"3,5",1590 Washington Blvd,Fremont,375.312.314.119.297,-121937047836775
19,tea-six-fremont-2,"3,5",34460 Fremont Blvd,Fremont,3.757.509,-1220386
21,tea-station-newark,"3,5",39115 Cedar Blvd,Newark,37.523.356,-122006644999999
24,t4-tea-fremont-2,"3,5",43430 Mission Blvd,Fremont,3.753.181,-12191944
25,boba-fitt-drinks-union-city,"3,5",31877 Alvarado Blvd,Union City,375.897.191.178.595,-122071148412966
26,sweet-home-cafe-fremont-2,"3,5",6068 Stevenson Blvd,Fremont,375.180.666.419.642,-121989524069478
